primarySlug,restaurant_id,name,address,city,supportsDelivery,supportsPickup,paymentMethods,ratings,ratingsNumber,deliveryScoober,durationRangeMin,durationRangeMax,deliveryFee,minOrder,longitude,latitude
broodjeszaak-de-vrijheid,ROPPROQN,Broodjeszaak De Vrijheid,Vrijheid 64,Arendonk,1,1,"['bancontact', 'paypal', 'creditcard']",5.0,15,0,10,20,1.5,10.0,5.0895086,51.3211208
asia-delice,5RO1113,Asia Délice,Rue René Declercq 10,Woluwe-Saint-Pierre,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,1156,0,25,50,0.0,30.0,4.4319316,50.8369268
pizza-hut-delivery-vilvoorde-1,O1ONN011,Pizza Hut Delivery,Heldenplein 2,Vilvoorde,1,0,"['bancontact', 'paypal', 'creditcard']",4.5,235,0,25,50,1.99,15.0,4.470801,50.8847419
snack-opwijk,5PRR05N,Snack Opwijk,Kerkstraat 9,Opwijk,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,309,0,30,55,1.0,15.0,4.1890306,50.9691957
kfc-wijnegem,0PN01Q5N,KFC,Turnhoutsebaan 5,Wijnegem,1,0,"['bancontact', 'paypal', 'creditcard']",2.7,248,1,55,65,5.59,18.0,4.5018069,51.2222768
lla-famiglia,R5P53OQN,La famiglia,Dorpsstraat 104,As,1,1,"['bancontact', 'paypal', 'creditcard']",4.6,19,0,20,45,2.5,22.5,5.580884,51.00532
pyramide-hamont,3P5P7R7N,Pyramide,Stationsstraat 61,Hamont,1,1,"['bancontact', 'paypal', 'creditcard']",4.9,45,0,25,50,3.0,15.0,5.54582,51.24612
anatolia-23-1,531QO03,Anatolia 23,Kerkstraat 8,Hamont-Achel,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,652,0,15,40,0.0,20.0,5.5466132,51.2514972
la-brochette-du-chalet,013R7N11,La Brochette du Chalet,Avenue broustin 113,Ganshoren,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,113,0,50,75,0.0,0.0,4.3209591,50.8674882
xin-yuan,370R53,Xin Yuan,Avenue De La Bergère 5,Bruxelles,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.5,356,0,30,55,0.0,0.0,4.310531,50.8671138
chez-giovanni,37Q7PQ7N,Chez Giovanni,Avenue Josse Goffin 207,Berchem-Sainte-Agathe,0,1,"['bancontact', 'paypal', 'creditcard']",4.0,27,0,30,55,0.0,0.0,4.3068695,50.86666
hau-wang-uccle,3P3O10QN,Hau Wang,Chaussée de Gand 489,Molenbeek-Saint-Jean,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,29,0,35,60,0.0,0.0,4.3145715,50.8586393
chef-kebab-1,3QNQ0R7N,Chef Kebab,Rue Jean de Greef 19,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'bancontactAtHome']",4.9,146,0,20,45,0.0,25.0,4.315421,50.87349
dominos-pizza-jette-1,N31PQRO,Domino's Pizza,Avenue de Jette 286,Jette,0,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",3.9,848,0,45,70,0.0,0.0,4.3240906,50.8721342
dominos-pizza-berchem-sainte-agathe,O05OO001,Domino's Pizza,Avenue du roi Albert 272,Berchem-Sainte-Agathe,1,0,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",2.6,648,0,50,75,1.5,20.0,4.2823889,50.8667894
woodiz-basilique,O5100RPN,Woodiz Basilique,Avenue du Panthéon 105,Koekelberg,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,99,0,25,50,0.0,0.0,4.3144861,50.8668799
i-love-pizza,ONRR7NR,I love Pizza,rue de l'Eglise Saint-Martin 105,Ganshoren,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,472,0,40,65,0.0,0.0,4.3132214,50.8736018
o-delices-du-basilix,ORO030QN,Ô Délices du Basilix,Avenue Charles-Quint 560,Berchem-Sainte-Agathe,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'bancontactAtHome']",4.7,3,0,15,40,2.0,25.0,4.2923159,50.872043
sushiria-jette,Q1RN7QO,Sushiría,Rue Léopold 1er 519,Jette,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.0,328,0,20,45,2.0,45.0,4.3262347,50.8729989
librairie-koekelberg-iii,R0377PQN,Librairie Koekelberg III,Rue Philippe Piermez 20,Bruxelles,1,0,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,60,70,5.59,18.0,4.328317,50.8569599
factory-buns,R0NOOOQN,Factory Buns,Chaussée de Jette 596,Jette,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,3,0,20,30,0.0,0.0,4.3256164,50.872284
librairie-koekelberg-ii,R1N77PQN,Librairie Koekelberg II,Chaussée de Gand 263,Bruxelles,1,0,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,60,70,5.59,18.0,4.3296999,50.8569799
pitta-house-2,R3ONP5QN,Pitta House 2,Avenue Charles-Quint 70,Ganshoren,0,1,"['bancontact', 'paypal', 'creditcard']",4.7,9,1,50,60,3.84,15.0,4.3112619,50.868915
librairie-koekelberg,RN177PQN,Librairie Koekelberg,Chaussée de Gand 259,Bruxelles,1,0,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,45,55,5.59,18.0,4.329865,50.8570185
iskay,OP0511QN,Iskay,Route de Frasnes 108,Lessines,1,0,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,9,0,35,60,4.5,10.0,3.8198084,50.7116127
papa-sucre-sale,30P1O77N,Papa Sucré / Salé,Chemin du Carnois 35A,Frasnes,1,0,"['bancontact', 'paypal', 'creditcard']",4.7,77,0,35,60,3.0,15.0,3.5782116,50.6972868
dominos-pizza-ronse,O1P3R5PN,Domino's Pizza,Winston Churchillplein 7,Ronse,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",2.6,162,0,30,55,1.5,12.5,3.6020962,50.7427833
kursatto,OR71Q1N1,Snack Kursatto,Grote Markt 3,Ronse,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.1,520,0,40,65,0.0,14.5,3.6015994,50.7475772
le-meilleur-de-la-frite,QOOPP7O,Le Meilleur de la Frite,Chaussée de renaix 55a,Frasnes-lez-Anvaing,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,590,0,50,75,3.0,20.0,3.5807412,50.6936941
freros,R350QOQN,Frero's,Ernest Solvay straat 63,Ronse,1,0,"['bancontact', 'paypal', 'creditcard']",4.7,18,0,35,60,3.5,10.0,3.6034959,50.7350915
dominos-pizza-houthalen,R07O33QN,Domino's Pizza,Vredelaan 24,Houthalen,1,1,"['bancontact', 'paypal', 'creditcard']",4.7,53,0,15,40,0.0,12.0,5.373873,51.03167
snack-felix-2,0005N311,Snack Felix 2,Avenue de Roodebeek 53,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.1,15,1,45,55,0.5,12.0,4.3982331,50.8478045
snack-papay,003P5Q11,Snack Papay,Chaussée de Wavre 382,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.5,219,1,60,70,3.84,15.0,4.3808233,50.8367019
tamy,003ROP11,Tamy,Chaussée de Wavre 341,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.8,3,1,60,70,3.84,15.0,4.3805304,50.8364281
omiros,005P755N,Omiros,Rue des Deux Eglises 130,Saint-Josse-Ten-Noode,0,1,"['bancontact', 'paypal', 'creditcard']",3.8,16,1,60,70,3.84,15.0,4.3739433,50.8490727
buv-moi,00Q55O11,Poke Fresh,Rue de la Montagne 64,Bruxelles-Capitale,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",0.0,0,1,60,70,5.59,18.0,4.3566654,50.8476687
le-pecheur,00QPPP5N,Le Pêcheur,Rue de la Fourche 33,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.1,18,0,65,90,0.0,25.0,4.3534486,50.8483082
le-porto-fino,00R7R131,Le Porto fino,Rue du Luxembourg 60,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.5,9,1,55,65,5.59,18.0,4.3717928,50.8395002
snack-tadim,010O10N1,Tadim Kumpir,Avenue Rogier 92,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",4.2,412,0,30,55,3.0,25.0,4.3766128,50.859793
le-1050,011NRP11,Le 1050 Snack,Rue Maria Malibran 9,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.7,9,1,60,70,5.59,18.0,4.3726359,50.8289445
volle-gas-1,011P3R5N,Volle Gas,Place Fernand Cocq 21,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.9,6,1,60,70,5.59,18.0,4.367096,50.8334153
gusto-di,013P0R11,Gusto Di Bruxelles,Rue Van Artevelde 47,Brussel,0,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'creditcardAtHome', 'bancontactAtHome']",3.8,1221,0,30,55,0.0,35.0,4.3460338,50.8481231
shapla-masala,01513311,Shapla Masala,Rue Stevin 160,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.0,22,1,55,65,2.99,12.0,4.3832616,50.8443804
el-bocadillos,01O730N1,El Bocadillos,Galerie Ravenstein 11,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.2,307,1,55,65,5.59,18.0,4.3577667,50.8450733
oliva-etterbeek,01PQNR5N,Oliva,Rue Général Leman 141,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.5,85,1,55,65,3.84,15.0,4.388106,50.8366818
snack-chez-zeki,01RNR55N,Snack Chez Zeki,Chaussée de Haecht 18,Saint-Josse-ten-Noode,0,1,"['bancontact', 'paypal', 'creditcard']",4.7,88,1,45,55,3.84,15.0,4.3673975,50.8548619
empanadas,0331N0N1,Empanadas,Rue Gérard 148,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,2.99,12.0,4.4006672,50.8407666
restaurant-grecque-nammos,03R1537N,Restaurant Grecque Nammos,Place des Bienfaiteurs 13,Schaerbeek,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.4,105,0,25,50,7.0,25.0,4.3844341,50.8575141
antipasti-sapori,051P5R5N,Antichi Sapori,Rue d' Oultremont 92,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.8,4,1,55,65,2.99,12.0,4.4007157,50.8427711
afrosian-ixelles,053Q537N,Afrosian,Chaussée de Louvain 244,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",2.5,51,0,80,100,0.0,25.0,4.3802894,50.850166
metropolis,0573RO11,Meatropolis,Avenue d'Auderghem 54,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,33,1,60,70,3.84,15.0,4.3857023,50.8393238
petit-palais,05N5QO7N,Petit palais,Rue Josaphat 46,Schaerbeek,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.0,277,0,20,45,0.0,15.0,4.3729156,50.8567628
snack-dylan,05PNPP11,Snack Dylan,chaussée de louvain 899,Evere,1,1,"['bancontact', 'cash', 'paypal', 'creditcard', 'sodexo']",4.8,369,0,20,45,0.0,20.0,4.4176894,50.8600219
osyrie,05Q7755N,O'Syrie,Rue Gillon 17,Saint-Josse-Ten-Noode,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,33,1,65,75,3.84,15.0,4.3680471,50.8553552
snack-sibel-1,05R5R311,Snack Sibel,Chaussée de Wavre 777,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,30,40,5.59,18.0,4.3927635,50.828637
les-4-gouts,05RP755N,Les 4 Goûts,Rue de Ribaucourt 102,Molenbeek-Saint-Jean,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.5,105,0,25,50,5.0,40.0,4.3409006,50.8596365
am-princesse,070Q7131,Am Princesse,Chaussée de Louvain 343,Schaerbeek,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.9,367,0,15,40,0.0,30.0,4.3889265,50.8528536
il-covo,071O5R5N,Il Covo,Rue de l'Enseignement 68,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,3.84,15.0,4.3644857,50.84869
lequinoxe,071PQ131,L'Equinoxe,Rue Ravenstein 70,Bruxelles-Capitale,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.3587427,50.8457678
booboo-cakes,07713711,Boo Boo Cakes,Chaussée de Wavre 267,Elsene,0,1,"['bancontact', 'paypal', 'creditcard']",3.2,6,1,60,70,3.84,15.0,4.3782268,50.8357688
godo-bistrot-pizzeria-bar,07N510N1,Godo Bistrot Pizzeria Bar,Rue d'Arlon 37A,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,19,1,55,65,3.84,15.0,4.3731433,50.8408834
snack-tout-pres,0N015Q11,Snack Tout Près,Rue du Meiboom 20,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.3608833,50.851547
le-laakam,0N53Q37N,Le Laakam,Rue Longue Vie 18,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.2,24,1,65,75,5.59,18.0,4.3657552,50.8364249
tasty-pizza-1030,0NN33311,Tasty Pizza,Chaussée de Louvain 468,Schaerbeek,1,1,"['bancontact', 'paypal', 'creditcard']",4.6,1271,0,20,45,1.0,15.0,4.3908716,50.8529949
hawaiian-poke-bowl-bruxelles-1,0NQ37R5N,Hawaiian Poké Bowl,Rue des Trèves 68,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.5,145,1,60,70,3.84,15.0,4.3738636,50.8407464
bad-by-la-parisienne,0O0R375N,Bad by La Parisienne,Rue Dejoncker 46,Sint-Gilles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.1,181,0,50,75,0.0,30.0,4.3559617,50.8334341
sandwiched,0O5P7311,Sandwiched,Rue de la Montagne 76,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,45,55,5.59,18.0,4.3568671,50.8478189
snack-dag,0O7N7Q11,Snack Dag,Avenue Rogier 132,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.9,151,0,30,40,2.5,20.0,4.3796936,50.8591069
snack-memo-chez-feyyaz,0ON1Q37N,Snack Memo - Chez Feyyaz,Chaussee de Haecht 169,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.5,16,1,65,75,2.99,12.0,4.371001,50.860157
snack-tarik,0ONROR11,Snack Tarik,Rue Van Oost 4,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.1,70,0,35,60,0.0,22.0,4.3721496,50.8701943
ebenezer,0OO33O7N,Ebenezer,Avenue de la Couronne 120,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.379727,50.8293767
tekince-kebap-pizza,0OOO5R5N,Tekince Kebap Resto,Chaussée de Haecht 133,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.5,21,1,45,55,2.99,12.0,4.3701779,50.8587167
la-bella-puglia,0OQPR55N,La Bella Puglia,Avenue d'Auderghem 243,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,18,1,60,70,3.84,15.0,4.3885769,50.833067
wazawok-city-2,0OR71O11,Wazawok,Rue neuve 123,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.6,48,1,60,70,5.59,18.0,4.3579242,50.854536
poke-bar,0P505311,Poké Bar Etterbeek,Rue Général Leman 20,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.8,3,1,55,65,3.84,15.0,4.3827006,50.8368064
yorker,0P551P5N,Biggie Burgers,Rue de Stassart 17,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",2.7,3,1,55,65,5.59,18.0,4.361143,50.8376184
il-buongustaio-bruxelles,0P57O131,Il Buongustaio,Rue d'Arlon 85,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,30,40,3.84,15.0,4.3746849,50.8435933
otacos-docks,0P75NP5N,O'Tacos,Boulevard Lambermont 1,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",1.6,70,1,65,75,0.0,15.0,4.3730967,50.8793322
veganwaf,0P775131,Veganwaf,"Rue Marché aux Herbes , Galerie Agora 105 bte 48",Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,55,65,5.59,18.0,4.354391,50.8464514
eastwest,0PO5RO11,East@West,Keizerslaan 26,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.6,36,1,50,60,5.59,18.0,4.3532288,50.8426213
snack-bodrum-bruxelles,0PON1P11,Snack Bodrum,Avenue George Henri 358,Woluwe-Saint-Lambert,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,56,1,55,65,2.99,12.0,4.4083082,50.84294
au-chapati,0Q10R711,Au Chapati,Rue des Deux Églises 56,Saint-Josse-ten-Noode,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.4,21,1,60,70,3.84,15.0,4.373023,50.847351
tokyo-roll-new,0Q13337N,Tokyo Roll,Chaussée de Wavre 1010,Auderghem,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,50,60,2.6,18.0,4.3997054,50.8246334
chamas-tacos-bxl-1,0QN05Q5N,Chamas Tacos Debrouckère,Rue de l'Ecuyer 59,Bruxelles,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.5,1412,0,40,65,0.0,20.0,4.355169,50.8486612
snack-marmaris-schaerbeek-1,0QN07P5N,Snack Marmaris,Rue des Palais 86,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.0,162,1,60,70,2.99,12.0,4.3671369,50.8618457
has-pide,0QN57R11,Has Pide,Chaussee de Haecht 115,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.4,146,1,50,60,2.99,12.0,4.3699121,50.8582054
tamtam-gourmand,0QRQQ55N,Tamtam Gourmand Saveurs d'Afrique,Chaussée de Wavre 72,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.3,43,1,65,75,5.59,18.0,4.3655742,50.8369032
la-duga,0R1NPO11,La Fuga Bruxelles,Rue du Gouvernement Provisoire 43,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.5,37,1,60,70,3.84,15.0,4.3673267,50.8501804
tandoori-land-bruxelles,0R1Q0N31,Tandoori Land,Rue Ernest solvay 37,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.3,6,1,50,60,5.59,18.0,4.3651355,50.8366637
ozawa,0R5PNP11,Ozawa,Allée Verte 5,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.1,51,1,40,50,3.84,15.0,4.3537184,50.8628446
sapporo-shi-sushi-ramen-bar,0RN7337N,Sapporo-Shi Sushi & Ramen Bar,Rue de l'Enseignement 40,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.4,16,1,55,65,5.59,18.0,4.3639413,50.8483721
snack-gerard-new,0RO1O37N,Snack Gerard,Rue Gerard 95,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",3.3,4,1,55,65,0.5,12.0,4.4004032,50.8405952
petales-de-rose,0RQQ1P5N,Pétales de Rose,Avenue Rogier 339,Schaerbeek,1,0,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.2,67,1,50,60,5.59,18.0,4.392387,50.8560089
snack-delice-st-michel,0RQRQ311,Snack Delice,Rue Saint-Michel 33,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",4.1,36,1,65,75,5.59,18.0,4.3554927,50.8519286
partnership-support-be,300N317N,Partnership Support BE,Chemin des deux maisons 69 15,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,0,25,35,0.0,0.0,4.4267091,50.8520382
waikiki-poke-bar,300O7O7N,Waikiki Poke Bar,Rue de l'écuyer 37,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.9,127,1,50,60,5.59,18.0,4.3541874,50.8488941
woodiz-porte-de-namur,30735R7N,Woodiz Porte de Namur,Rue Longue Vie 17,Ixelles,0,1,"['bancontact', 'paypal', 'creditcard']",3.8,31,0,45,70,3.5,20.0,4.3655133,50.836357
burgerstreet-original-smashed,3107QQ7N,Burgerstreet - Original Smashed,Place des Bienfaiteurs 15B,Schaerbeek,0,1,"['bancontact', 'paypal', 'creditcard']",0.0,0,1,30,40,2.99,12.0,4.3848051,50.8575766
fratellos-sc,3131377N,Fratello's Pizzeria,Rue des Compagnons 12,Schaerbeek,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,43,0,35,60,3.0,30.0,4.4003043,50.8559602
slada-bruxelles,315Q7R7N,Slada,Boulevard Emile Jacqmain 137,Bruxelles,0,1,"['bancontact', 'paypal', 'creditcard']",5.0,3,1,55,65,5.59,18.0,4.3554746,50.855727
el-pulgarcito,315RQO7N,El Pulgarcito,Rue de la Gare 44,Etterbeek,0,1,"['bancontact', 'paypal', 'creditcard']",4.3,20,1,60,70,2.99,12.0,4.3994603,50.8365883
pizza-express-bruxelles,3177RR7N,Pizza Express,Rue Van Oost 65A,Schaerbeek,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,115,0,20,45,0.0,10.0,4.3751637,50.8709368
